Indexing started : 2026-03-16 15:20:38.584491
Device           : cpu (FP32)
Batch size       : 10
Folder           : ./assets40k
-----------------------------------------------------------------------------------------------
progress | decode | embed | db | total | CPU% RAM% GPU% VRAM | ETA
-----------------------------------------------------------------------------------------------
TurboJPEG        : not used (PIL sufficient at this batch size)
batch 1/4067 (10/40670) | decode:0.14s embed:0.33s db:0.13s total:0.46s | CPU:29% RAM:88% GPU:N/A | ETA:31m24s
batch 2404/4067 (24040/40670) | decode:0.11s embed:0.38s db:0.02s total:0.40s | CPU:72% RAM:87% GPU:N/A | ETA:11m8s
batch 2405/4067 (24050/40670) | decode:0.14s embed:0.37s db:0.02s total:0.39s | CPU:79% RAM:87% GPU:N/A | ETA:11m5s
batch 2406/4067 (24060/40670) | decode:0.13s embed:0.38s db:0.02s total:0.40s | CPU:79% RAM:87% GPU:N/A | ETA:11m5s
batch 2407/4067 (24070/40670) | decode:0.14s embed:0.36s db:0.02s total:0.39s | CPU:68% RAM:87% GPU:N/A | ETA:11m1s
batch 2408/4067 (24080/40670) | decode:0.13s embed:0.38s db:0.02s total:0.40s | CPU:60% RAM:87% GPU:N/A | ETA:11m2s
batch 2409/4067 (24090/40670) | decode:0.12s embed:0.51s db:0.02s total:0.53s | CPU:82% RAM:87% GPU:N/A | ETA:11m46s
batch 2410/4067 (24100/40670) | decode:0.12s embed:0.39s db:0.03s total:0.42s | CPU:68% RAM:87% GPU:N/A | ETA:11m42s
batch 2411/4067 (24110/40670) | decode:0.12s embed:0.36s db:0.02s total:0.39s | CPU:71% RAM:87% GPU:N/A | ETA:11m29s
batch 2412/4067 (24120/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:75% RAM:87% GPU:N/A | ETA:11m19s
batch 2413/4067 (24130/40670) | decode:0.20s embed:0.36s db:0.03s total:0.39s | CPU:83% RAM:87% GPU:N/A | ETA:11m11s
batch 2414/4067 (24140/40670) | decode:0.14s embed:0.35s db:0.03s total:0.38s | CPU:78% RAM:87% GPU:N/A | ETA:11m3s
batch 2415/4067 (24150/40670) | decode:0.12s embed:0.36s db:0.02s total:0.39s | CPU:77% RAM:87% GPU:N/A | ETA:10m57s
batch 2416/4067 (24160/40670) | decode:0.11s embed:0.38s db:0.02s total:0.40s | CPU:74% RAM:87% GPU:N/A | ETA:10m58s
batch 2417/4067 (24170/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:81% RAM:87% GPU:N/A | ETA:10m51s
batch 2418/4067 (24180/40670) | decode:0.12s embed:0.38s db:0.03s total:0.40s | CPU:76% RAM:87% GPU:N/A | ETA:10m53s
batch 2419/4067 (24190/40670) | decode:0.13s embed:0.39s db:0.03s total:0.42s | CPU:69% RAM:87% GPU:N/A | ETA:11m0s
batch 2420/4067 (24200/40670) | decode:0.11s embed:0.41s db:0.02s total:0.43s | CPU:86% RAM:87% GPU:N/A | ETA:11m11s
batch 2421/4067 (24210/40670) | decode:0.12s embed:0.40s db:0.02s total:0.42s | CPU:81% RAM:87% GPU:N/A | ETA:11m14s
batch 2422/4067 (24220/40670) | decode:0.12s embed:0.39s db:0.02s total:0.41s | CPU:68% RAM:87% GPU:N/A | ETA:11m13s
batch 2423/4067 (24230/40670) | decode:0.13s embed:0.46s db:0.02s total:0.48s | CPU:97% RAM:86% GPU:N/A | ETA:11m35s
batch 2424/4067 (24240/40670) | decode:0.14s embed:0.47s db:0.03s total:0.50s | CPU:74% RAM:86% GPU:N/A | ETA:11m58s
batch 2425/4067 (24250/40670) | decode:0.12s embed:0.40s db:0.03s total:0.43s | CPU:72% RAM:86% GPU:N/A | ETA:11m54s
batch 2426/4067 (24260/40670) | decode:0.13s embed:0.37s db:0.03s total:0.40s | CPU:70% RAM:86% GPU:N/A | ETA:11m42s
batch 2427/4067 (24270/40670) | decode:0.13s embed:0.40s db:0.02s total:0.43s | CPU:84% RAM:86% GPU:N/A | ETA:11m41s
batch 2428/4067 (24280/40670) | decode:0.17s embed:0.37s db:0.03s total:0.40s | CPU:74% RAM:86% GPU:N/A | ETA:11m32s
batch 2429/4067 (24290/40670) | decode:0.13s embed:0.42s db:0.03s total:0.45s | CPU:74% RAM:86% GPU:N/A | ETA:11m40s
batch 2430/4067 (24300/40670) | decode:0.12s embed:0.36s db:0.04s total:0.40s | CPU:63% RAM:86% GPU:N/A | ETA:11m30s
batch 2431/4067 (24310/40670) | decode:0.11s embed:0.36s db:0.02s total:0.39s | CPU:65% RAM:86% GPU:N/A | ETA:11m18s
batch 2432/4067 (24320/40670) | decode:0.10s embed:0.37s db:0.03s total:0.40s | CPU:73% RAM:86% GPU:N/A | ETA:11m13s
batch 2433/4067 (24330/40670) | decode:0.14s embed:0.36s db:0.03s total:0.39s | CPU:74% RAM:86% GPU:N/A | ETA:11m5s
batch 2434/4067 (24340/40670) | decode:0.12s embed:0.38s db:0.03s total:0.41s | CPU:72% RAM:86% GPU:N/A | ETA:11m4s
batch 2435/4067 (24350/40670) | decode:0.13s embed:0.41s db:0.02s total:0.43s | CPU:88% RAM:86% GPU:N/A | ETA:11m10s
batch 2436/4067 (24360/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:78% RAM:86% GPU:N/A | ETA:11m2s
batch 2437/4067 (24370/40670) | decode:0.12s embed:0.35s db:0.04s total:0.39s | CPU:70% RAM:86% GPU:N/A | ETA:10m56s
batch 2438/4067 (24380/40670) | decode:0.12s embed:0.37s db:0.04s total:0.41s | CPU:59% RAM:86% GPU:N/A | ETA:11m0s
batch 2439/4067 (24390/40670) | decode:0.13s embed:0.37s db:0.02s total:0.40s | CPU:69% RAM:86% GPU:N/A | ETA:10m56s
batch 2440/4067 (24400/40670) | decode:0.11s embed:0.35s db:0.06s total:0.41s | CPU:78% RAM:86% GPU:N/A | ETA:10m58s
batch 2441/4067 (24410/40670) | decode:0.12s embed:0.34s db:0.04s total:0.38s | CPU:73% RAM:86% GPU:N/A | ETA:10m51s
batch 2442/4067 (24420/40670) | decode:0.14s embed:0.37s db:0.04s total:0.41s | CPU:57% RAM:86% GPU:N/A | ETA:10m54s
batch 2443/4067 (24430/40670) | decode:0.13s embed:0.38s db:0.03s total:0.41s | CPU:63% RAM:86% GPU:N/A | ETA:10m57s
batch 2444/4067 (24440/40670) | decode:0.13s embed:0.36s db:0.03s total:0.39s | CPU:76% RAM:86% GPU:N/A | ETA:10m52s
batch 2445/4067 (24450/40670) | decode:0.11s embed:0.36s db:0.03s total:0.39s | CPU:72% RAM:86% GPU:N/A | ETA:10m47s
batch 2446/4067 (24460/40670) | decode:0.15s embed:0.39s db:0.03s total:0.42s | CPU:74% RAM:86% GPU:N/A | ETA:10m53s
batch 2447/4067 (24470/40670) | decode:0.16s embed:0.39s db:0.03s total:0.42s | CPU:81% RAM:85% GPU:N/A | ETA:10m58s
batch 2448/4067 (24480/40670) | decode:0.13s embed:0.38s db:0.03s total:0.42s | CPU:79% RAM:86% GPU:N/A | ETA:11m1s
batch 2449/4067 (24490/40670) | decode:0.12s embed:0.39s db:0.03s total:0.42s | CPU:85% RAM:86% GPU:N/A | ETA:11m4s
batch 2450/4067 (24500/40670) | decode:0.12s embed:0.38s db:0.04s total:0.42s | CPU:92% RAM:86% GPU:N/A | ETA:11m7s
batch 2451/4067 (24510/40670) | decode:0.14s embed:0.40s db:0.03s total:0.44s | CPU:77% RAM:86% GPU:N/A | ETA:11m14s
batch 2452/4067 (24520/40670) | decode:0.13s embed:0.39s db:0.04s total:0.43s | CPU:76% RAM:86% GPU:N/A | ETA:11m17s
batch 2453/4067 (24530/40670) | decode:0.13s embed:0.40s db:0.03s total:0.43s | CPU:68% RAM:86% GPU:N/A | ETA:11m21s
batch 2454/4067 (24540/40670) | decode:0.13s embed:0.37s db:0.03s total:0.40s | CPU:69% RAM:86% GPU:N/A | ETA:11m14s
batch 2455/4067 (24550/40670) | decode:0.12s embed:0.40s db:0.03s total:0.43s | CPU:74% RAM:86% GPU:N/A | ETA:11m18s
batch 2456/4067 (24560/40670) | decode:0.15s embed:0.41s db:0.03s total:0.44s | CPU:74% RAM:86% GPU:N/A | ETA:11m24s
batch 2457/4067 (24570/40670) | decode:0.13s embed:0.36s db:0.03s total:0.40s | CPU:70% RAM:86% GPU:N/A | ETA:11m15s
batch 2458/4067 (24580/40670) | decode:0.12s embed:0.39s db:0.03s total:0.41s | CPU:73% RAM:86% GPU:N/A | ETA:11m13s
batch 2459/4067 (24590/40670) | decode:0.12s embed:0.36s db:0.03s total:0.40s | CPU:76% RAM:86% GPU:N/A | ETA:11m6s
batch 2460/4067 (24600/40670) | decode:0.15s embed:0.38s db:0.03s total:0.41s | CPU:75% RAM:86% GPU:N/A | ETA:11m3s
batch 2461/4067 (24610/40670) | decode:0.12s embed:0.39s db:0.16s total:0.55s | CPU:67% RAM:86% GPU:N/A | ETA:11m48s
batch 2462/4067 (24620/40670) | decode:0.14s embed:0.39s db:0.02s total:0.41s | CPU:86% RAM:86% GPU:N/A | ETA:11m37s
batch 2463/4067 (24630/40670) | decode:0.13s embed:0.43s db:0.02s total:0.45s | CPU:92% RAM:86% GPU:N/A | ETA:11m40s
batch 2464/4067 (24640/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:76% RAM:86% GPU:N/A | ETA:11m21s
batch 2465/4067 (24650/40670) | decode:0.12s embed:0.39s db:0.02s total:0.41s | CPU:77% RAM:86% GPU:N/A | ETA:11m16s
batch 2466/4067 (24660/40670) | decode:0.10s embed:0.37s db:0.02s total:0.39s | CPU:65% RAM:86% GPU:N/A | ETA:11m7s
batch 2467/4067 (24670/40670) | decode:0.13s embed:0.39s db:0.02s total:0.41s | CPU:71% RAM:86% GPU:N/A | ETA:11m3s
batch 2468/4067 (24680/40670) | decode:0.11s embed:0.42s db:0.02s total:0.44s | CPU:65% RAM:86% GPU:N/A | ETA:11m10s
batch 2469/4067 (24690/40670) | decode:0.13s embed:0.37s db:0.02s total:0.40s | CPU:72% RAM:86% GPU:N/A | ETA:11m2s
batch 2470/4067 (24700/40670) | decode:0.14s embed:0.40s db:0.02s total:0.42s | CPU:70% RAM:86% GPU:N/A | ETA:11m4s
batch 2471/4067 (24710/40670) | decode:0.11s embed:0.37s db:0.02s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:10m54s
batch 2472/4067 (24720/40670) | decode:0.15s embed:0.39s db:0.02s total:0.41s | CPU:67% RAM:86% GPU:N/A | ETA:10m54s
batch 2473/4067 (24730/40670) | decode:0.13s embed:0.40s db:0.02s total:0.43s | CPU:68% RAM:86% GPU:N/A | ETA:10m58s
batch 2474/4067 (24740/40670) | decode:0.13s embed:0.38s db:0.02s total:0.41s | CPU:77% RAM:86% GPU:N/A | ETA:10m56s
batch 2475/4067 (24750/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:75% RAM:86% GPU:N/A | ETA:10m49s
batch 2476/4067 (24760/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:66% RAM:86% GPU:N/A | ETA:10m43s
batch 2477/4067 (24770/40670) | decode:0.16s embed:0.37s db:0.02s total:0.39s | CPU:66% RAM:86% GPU:N/A | ETA:10m39s
batch 2478/4067 (24780/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:71% RAM:86% GPU:N/A | ETA:10m36s
batch 2479/4067 (24790/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:65% RAM:86% GPU:N/A | ETA:10m30s
batch 2480/4067 (24800/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:67% RAM:86% GPU:N/A | ETA:10m28s
batch 2481/4067 (24810/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:71% RAM:86% GPU:N/A | ETA:10m26s
batch 2482/4067 (24820/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:73% RAM:86% GPU:N/A | ETA:10m26s
batch 2483/4067 (24830/40670) | decode:0.13s embed:0.38s db:0.02s total:0.40s | CPU:73% RAM:86% GPU:N/A | ETA:10m27s
batch 2484/4067 (24840/40670) | decode:0.13s embed:0.36s db:0.02s total:0.39s | CPU:68% RAM:86% GPU:N/A | ETA:10m24s
batch 2485/4067 (24850/40670) | decode:0.15s embed:0.37s db:0.02s total:0.39s | CPU:66% RAM:86% GPU:N/A | ETA:10m21s
batch 2486/4067 (24860/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:72% RAM:86% GPU:N/A | ETA:10m21s
batch 2487/4067 (24870/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:73% RAM:86% GPU:N/A | ETA:10m16s
batch 2488/4067 (24880/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:68% RAM:86% GPU:N/A | ETA:10m13s
batch 2489/4067 (24890/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:83% RAM:86% GPU:N/A | ETA:10m9s
batch 2490/4067 (24900/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:72% RAM:86% GPU:N/A | ETA:10m8s
batch 2491/4067 (24910/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:81% RAM:86% GPU:N/A | ETA:10m6s
batch 2492/4067 (24920/40670) | decode:0.11s embed:0.41s db:0.02s total:0.43s | CPU:90% RAM:86% GPU:N/A | ETA:10m19s
batch 2493/4067 (24930/40670) | decode:0.11s embed:0.41s db:0.03s total:0.44s | CPU:88% RAM:86% GPU:N/A | ETA:10m33s
batch 2494/4067 (24940/40670) | decode:0.13s embed:0.38s db:0.03s total:0.41s | CPU:72% RAM:86% GPU:N/A | ETA:10m35s
batch 2495/4067 (24950/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:67% RAM:86% GPU:N/A | ETA:10m32s
batch 2496/4067 (24960/40670) | decode:0.16s embed:0.37s db:0.02s total:0.40s | CPU:74% RAM:86% GPU:N/A | ETA:10m31s
batch 2497/4067 (24970/40670) | decode:0.14s embed:0.37s db:0.02s total:0.39s | CPU:71% RAM:86% GPU:N/A | ETA:10m27s
batch 2498/4067 (24980/40670) | decode:0.15s embed:0.36s db:0.03s total:0.39s | CPU:64% RAM:86% GPU:N/A | ETA:10m23s
batch 2499/4067 (24990/40670) | decode:0.13s embed:0.34s db:0.04s total:0.39s | CPU:64% RAM:86% GPU:N/A | ETA:10m19s
batch 2500/4067 (25000/40670) | decode:0.12s embed:0.36s db:0.04s total:0.39s | CPU:76% RAM:86% GPU:N/A | ETA:10m18s
batch 2501/4067 (25010/40670) | decode:0.12s embed:0.36s db:0.04s total:0.39s | CPU:71% RAM:86% GPU:N/A | ETA:10m18s
batch 2502/4067 (25020/40670) | decode:0.11s embed:0.35s db:0.02s total:0.37s | CPU:73% RAM:86% GPU:N/A | ETA:10m8s
batch 2503/4067 (25030/40670) | decode:0.11s embed:0.37s db:0.02s total:0.39s | CPU:72% RAM:86% GPU:N/A | ETA:10m9s
batch 2504/4067 (25040/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:63% RAM:86% GPU:N/A | ETA:10m4s
batch 2505/4067 (25050/40670) | decode:0.14s embed:0.35s db:0.03s total:0.38s | CPU:76% RAM:86% GPU:N/A | ETA:10m3s
batch 2506/4067 (25060/40670) | decode:0.12s embed:0.37s db:0.04s total:0.41s | CPU:75% RAM:86% GPU:N/A | ETA:10m11s
batch 2507/4067 (25070/40670) | decode:0.14s embed:0.34s db:0.04s total:0.38s | CPU:63% RAM:86% GPU:N/A | ETA:10m6s
batch 2508/4067 (25080/40670) | decode:0.12s embed:0.35s db:0.02s total:0.38s | CPU:66% RAM:86% GPU:N/A | ETA:10m2s
batch 2509/4067 (25090/40670) | decode:0.12s embed:0.38s db:0.04s total:0.41s | CPU:65% RAM:86% GPU:N/A | ETA:10m10s
batch 2510/4067 (25100/40670) | decode:0.14s embed:0.35s db:0.02s total:0.37s | CPU:67% RAM:86% GPU:N/A | ETA:10m3s
batch 2511/4067 (25110/40670) | decode:0.10s embed:0.35s db:0.04s total:0.38s | CPU:72% RAM:86% GPU:N/A | ETA:10m1s
batch 2512/4067 (25120/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:77% RAM:86% GPU:N/A | ETA:10m2s
batch 2513/4067 (25130/40670) | decode:0.13s embed:0.34s db:0.02s total:0.37s | CPU:69% RAM:86% GPU:N/A | ETA:9m56s
batch 2514/4067 (25140/40670) | decode:0.12s embed:0.36s db:0.04s total:0.40s | CPU:65% RAM:86% GPU:N/A | ETA:10m0s
batch 2515/4067 (25150/40670) | decode:0.12s embed:0.36s db:0.10s total:0.47s | CPU:52% RAM:86% GPU:N/A | ETA:10m24s
batch 2516/4067 (25160/40670) | decode:0.15s embed:0.36s db:0.04s total:0.40s | CPU:57% RAM:86% GPU:N/A | ETA:10m24s
batch 2517/4067 (25170/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:69% RAM:86% GPU:N/A | ETA:10m23s
batch 2518/4067 (25180/40670) | decode:0.13s embed:0.35s db:0.03s total:0.38s | CPU:80% RAM:86% GPU:N/A | ETA:10m15s
batch 2519/4067 (25190/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:75% RAM:86% GPU:N/A | ETA:10m16s
batch 2520/4067 (25200/40670) | decode:0.10s embed:0.36s db:0.03s total:0.39s | CPU:74% RAM:86% GPU:N/A | ETA:10m12s
batch 2521/4067 (25210/40670) | decode:0.15s embed:0.36s db:0.02s total:0.38s | CPU:81% RAM:86% GPU:N/A | ETA:10m8s
batch 2522/4067 (25220/40670) | decode:0.13s embed:0.36s db:0.03s total:0.40s | CPU:72% RAM:86% GPU:N/A | ETA:10m8s
batch 2523/4067 (25230/40670) | decode:0.12s embed:0.35s db:0.03s total:0.38s | CPU:70% RAM:86% GPU:N/A | ETA:10m4s
batch 2524/4067 (25240/40670) | decode:0.12s embed:0.37s db:0.03s total:0.39s | CPU:65% RAM:86% GPU:N/A | ETA:10m5s
batch 2525/4067 (25250/40670) | decode:0.13s embed:0.36s db:0.03s total:0.39s | CPU:71% RAM:86% GPU:N/A | ETA:10m4s
batch 2526/4067 (25260/40670) | decode:0.11s embed:0.36s db:0.02s total:0.39s | CPU:83% RAM:86% GPU:N/A | ETA:10m1s
batch 2527/4067 (25270/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:78% RAM:86% GPU:N/A | ETA:10m2s
batch 2528/4067 (25280/40670) | decode:0.12s embed:0.38s db:0.03s total:0.41s | CPU:71% RAM:86% GPU:N/A | ETA:10m7s
batch 2529/4067 (25290/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:74% RAM:86% GPU:N/A | ETA:10m9s
batch 2530/4067 (25300/40670) | decode:0.11s embed:0.37s db:0.02s total:0.39s | CPU:70% RAM:86% GPU:N/A | ETA:10m7s
batch 2531/4067 (25310/40670) | decode:0.12s embed:0.37s db:0.03s total:0.39s | CPU:68% RAM:86% GPU:N/A | ETA:10m5s
batch 2532/4067 (25320/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:10m4s
batch 2533/4067 (25330/40670) | decode:0.14s embed:0.38s db:0.02s total:0.40s | CPU:72% RAM:86% GPU:N/A | ETA:10m5s
batch 2534/4067 (25340/40670) | decode:0.12s embed:0.38s db:0.02s total:0.41s | CPU:74% RAM:86% GPU:N/A | ETA:10m9s
batch 2535/4067 (25350/40670) | decode:0.13s embed:0.44s db:0.03s total:0.47s | CPU:84% RAM:86% GPU:N/A | ETA:10m31s
batch 2536/4067 (25360/40670) | decode:0.11s embed:0.43s db:0.03s total:0.46s | CPU:68% RAM:86% GPU:N/A | ETA:10m45s
batch 2537/4067 (25370/40670) | decode:0.14s embed:0.36s db:0.03s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:10m36s
batch 2538/4067 (25380/40670) | decode:0.15s embed:0.38s db:0.03s total:0.41s | CPU:72% RAM:86% GPU:N/A | ETA:10m33s
batch 2539/4067 (25390/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:68% RAM:86% GPU:N/A | ETA:10m25s
batch 2540/4067 (25400/40670) | decode:0.17s embed:0.36s db:0.03s total:0.39s | CPU:67% RAM:86% GPU:N/A | ETA:10m19s
batch 2541/4067 (25410/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:71% RAM:86% GPU:N/A | ETA:10m18s
batch 2542/4067 (25420/40670) | decode:0.13s embed:0.36s db:0.03s total:0.39s | CPU:63% RAM:86% GPU:N/A | ETA:10m13s
batch 2543/4067 (25430/40670) | decode:0.14s embed:0.39s db:0.03s total:0.42s | CPU:81% RAM:86% GPU:N/A | ETA:10m17s
batch 2544/4067 (25440/40670) | decode:0.12s embed:0.37s db:0.03s total:0.41s | CPU:81% RAM:86% GPU:N/A | ETA:10m17s
batch 2545/4067 (25450/40670) | decode:0.14s embed:0.37s db:0.03s total:0.40s | CPU:72% RAM:86% GPU:N/A | ETA:10m15s
batch 2546/4067 (25460/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:71% RAM:86% GPU:N/A | ETA:10m13s
batch 2547/4067 (25470/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:71% RAM:86% GPU:N/A | ETA:10m11s
batch 2548/4067 (25480/40670) | decode:0.13s embed:0.36s db:0.03s total:0.39s | CPU:68% RAM:86% GPU:N/A | ETA:10m8s
batch 2549/4067 (25490/40670) | decode:0.13s embed:0.43s db:0.03s total:0.46s | CPU:72% RAM:86% GPU:N/A | ETA:10m27s
batch 2550/4067 (25500/40670) | decode:0.13s embed:0.36s db:0.03s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:10m20s
batch 2551/4067 (25510/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:70% RAM:86% GPU:N/A | ETA:10m14s
batch 2552/4067 (25520/40670) | decode:0.12s embed:0.36s db:0.03s total:0.40s | CPU:63% RAM:86% GPU:N/A | ETA:10m11s
batch 2553/4067 (25530/40670) | decode:0.14s embed:0.35s db:0.03s total:0.38s | CPU:80% RAM:86% GPU:N/A | ETA:10m4s
batch 2554/4067 (25540/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:65% RAM:86% GPU:N/A | ETA:9m58s
batch 2555/4067 (25550/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:73% RAM:86% GPU:N/A | ETA:9m53s
batch 2556/4067 (25560/40670) | decode:0.10s embed:0.37s db:0.03s total:0.40s | CPU:77% RAM:86% GPU:N/A | ETA:9m54s
batch 2557/4067 (25570/40670) | decode:0.11s embed:0.36s db:0.03s total:0.39s | CPU:78% RAM:86% GPU:N/A | ETA:9m53s
batch 2558/4067 (25580/40670) | decode:0.12s embed:0.39s db:0.03s total:0.42s | CPU:84% RAM:86% GPU:N/A | ETA:10m1s
batch 2559/4067 (25590/40670) | decode:0.12s embed:0.36s db:0.02s total:0.39s | CPU:79% RAM:86% GPU:N/A | ETA:9m57s
batch 2560/4067 (25600/40670) | decode:0.12s embed:0.39s db:0.04s total:0.43s | CPU:80% RAM:86% GPU:N/A | ETA:10m7s
batch 2561/4067 (25610/40670) | decode:0.13s embed:0.38s db:0.21s total:0.58s | CPU:62% RAM:86% GPU:N/A | ETA:11m1s
batch 2562/4067 (25620/40670) | decode:0.14s embed:0.35s db:0.02s total:0.37s | CPU:73% RAM:86% GPU:N/A | ETA:10m39s
batch 2563/4067 (25630/40670) | decode:0.12s embed:0.42s db:0.02s total:0.44s | CPU:82% RAM:87% GPU:N/A | ETA:10m43s
batch 2564/4067 (25640/40670) | decode:0.13s embed:0.37s db:0.02s total:0.38s | CPU:76% RAM:87% GPU:N/A | ETA:10m29s
batch 2565/4067 (25650/40670) | decode:0.12s embed:0.35s db:0.02s total:0.37s | CPU:80% RAM:87% GPU:N/A | ETA:10m14s
batch 2566/4067 (25660/40670) | decode:0.11s embed:0.37s db:0.02s total:0.39s | CPU:78% RAM:87% GPU:N/A | ETA:10m8s
batch 2567/4067 (25670/40670) | decode:0.13s embed:0.38s db:0.02s total:0.39s | CPU:82% RAM:86% GPU:N/A | ETA:10m4s
batch 2568/4067 (25680/40670) | decode:0.12s embed:0.49s db:0.02s total:0.51s | CPU:82% RAM:86% GPU:N/A | ETA:10m36s
batch 2569/4067 (25690/40670) | decode:0.12s embed:0.38s db:0.02s total:0.40s | CPU:70% RAM:86% GPU:N/A | ETA:10m28s
batch 2570/4067 (25700/40670) | decode:0.12s embed:0.43s db:0.02s total:0.45s | CPU:81% RAM:86% GPU:N/A | ETA:10m36s
batch 2571/4067 (25710/40670) | decode:0.13s embed:0.41s db:0.02s total:0.43s | CPU:76% RAM:86% GPU:N/A | ETA:10m37s
batch 2572/4067 (25720/40670) | decode:0.13s embed:0.38s db:0.02s total:0.40s | CPU:75% RAM:86% GPU:N/A | ETA:10m28s
batch 2573/4067 (25730/40670) | decode:0.15s embed:0.36s db:0.02s total:0.38s | CPU:83% RAM:86% GPU:N/A | ETA:10m14s
batch 2574/4067 (25740/40670) | decode:0.14s embed:0.35s db:0.02s total:0.37s | CPU:69% RAM:86% GPU:N/A | ETA:10m1s
batch 2575/4067 (25750/40670) | decode:0.17s embed:0.36s db:0.04s total:0.40s | CPU:65% RAM:86% GPU:N/A | ETA:10m1s
batch 2576/4067 (25760/40670) | decode:0.13s embed:0.35s db:0.03s total:0.39s | CPU:61% RAM:86% GPU:N/A | ETA:9m56s
batch 2577/4067 (25770/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:70% RAM:86% GPU:N/A | ETA:9m48s
batch 2578/4067 (25780/40670) | decode:0.12s embed:0.35s db:0.04s total:0.39s | CPU:68% RAM:86% GPU:N/A | ETA:9m46s
batch 2579/4067 (25790/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:73% RAM:86% GPU:N/A | ETA:9m41s
batch 2580/4067 (25800/40670) | decode:0.12s embed:0.35s db:0.04s total:0.39s | CPU:68% RAM:86% GPU:N/A | ETA:9m39s
batch 2581/4067 (25810/40670) | decode:0.13s embed:0.37s db:0.06s total:0.43s | CPU:64% RAM:86% GPU:N/A | ETA:9m50s
batch 2582/4067 (25820/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:58% RAM:86% GPU:N/A | ETA:9m47s
batch 2583/4067 (25830/40670) | decode:0.13s embed:0.36s db:0.03s total:0.40s | CPU:63% RAM:86% GPU:N/A | ETA:9m47s
batch 2584/4067 (25840/40670) | decode:0.13s embed:0.35s db:0.02s total:0.37s | CPU:74% RAM:86% GPU:N/A | ETA:9m39s
batch 2585/4067 (25850/40670) | decode:0.14s embed:0.35s db:0.04s total:0.39s | CPU:77% RAM:86% GPU:N/A | ETA:9m38s
batch 2586/4067 (25860/40670) | decode:0.14s embed:0.35s db:0.04s total:0.39s | CPU:60% RAM:86% GPU:N/A | ETA:9m39s
batch 2587/4067 (25870/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:73% RAM:86% GPU:N/A | ETA:9m37s
batch 2588/4067 (25880/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:63% RAM:86% GPU:N/A | ETA:9m37s
batch 2589/4067 (25890/40670) | decode:0.13s embed:0.36s db:0.04s total:0.40s | CPU:67% RAM:86% GPU:N/A | ETA:9m39s
batch 2590/4067 (25900/40670) | decode:0.11s embed:0.35s db:0.04s total:0.39s | CPU:65% RAM:86% GPU:N/A | ETA:9m39s
batch 2591/4067 (25910/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:76% RAM:86% GPU:N/A | ETA:9m37s
