Indexing started : 2026-03-16 16:11:45.977574
Device           : cpu (FP32)
Batch size       : 50
Folder           : ./assets40k
-----------------------------------------------------------------------------------------------
progress | decode | embed | db | total | CPU% RAM% GPU% VRAM | ETA
-----------------------------------------------------------------------------------------------
TurboJPEG        : not used (PIL sufficient at this batch size)
batch 1/814 (50/40670) | decode:0.35s embed:1.47s db:0.12s total:1.59s | CPU:25% RAM:88% GPU:N/A | ETA:21m34s
batch 387/814 (19350/40670) | decode:0.93s embed:1.62s db:0.03s total:1.65s | CPU:73% RAM:85% GPU:N/A | ETA:12m25s
batch 388/814 (19400/40670) | decode:0.71s embed:1.62s db:0.05s total:1.67s | CPU:75% RAM:86% GPU:N/A | ETA:12m17s
batch 389/814 (19450/40670) | decode:0.80s embed:1.59s db:0.03s total:1.62s | CPU:78% RAM:85% GPU:N/A | ETA:12m6s
batch 390/814 (19500/40670) | decode:0.94s embed:1.61s db:0.05s total:1.66s | CPU:78% RAM:85% GPU:N/A | ETA:12m0s
batch 391/814 (19550/40670) | decode:0.75s embed:1.65s db:0.03s total:1.68s | CPU:81% RAM:85% GPU:N/A | ETA:11m57s
batch 392/814 (19600/40670) | decode:0.67s embed:1.72s db:0.04s total:1.76s | CPU:83% RAM:85% GPU:N/A | ETA:12m0s
batch 393/814 (19650/40670) | decode:0.60s embed:1.60s db:0.06s total:1.66s | CPU:69% RAM:85% GPU:N/A | ETA:11m54s
batch 394/814 (19700/40670) | decode:0.64s embed:1.74s db:0.04s total:1.78s | CPU:73% RAM:85% GPU:N/A | ETA:12m0s
batch 395/814 (19750/40670) | decode:0.67s embed:1.61s db:0.04s total:1.65s | CPU:78% RAM:85% GPU:N/A | ETA:11m53s
batch 396/814 (19800/40670) | decode:0.85s embed:1.77s db:0.05s total:1.82s | CPU:80% RAM:85% GPU:N/A | ETA:12m1s
batch 397/814 (19850/40670) | decode:0.75s embed:1.69s db:0.06s total:1.75s | CPU:73% RAM:85% GPU:N/A | ETA:12m1s
batch 398/814 (19900/40670) | decode:0.80s embed:1.63s db:0.05s total:1.69s | CPU:73% RAM:85% GPU:N/A | ETA:11m56s
batch 399/814 (19950/40670) | decode:0.67s embed:1.65s db:0.04s total:1.69s | CPU:79% RAM:85% GPU:N/A | ETA:11m51s
batch 400/814 (20000/40670) | decode:0.74s embed:1.84s db:0.13s total:1.96s | CPU:71% RAM:85% GPU:N/A | ETA:12m10s
batch 401/814 (20050/40670) | decode:0.73s embed:1.74s db:0.03s total:1.77s | CPU:67% RAM:86% GPU:N/A | ETA:12m9s
batch 402/814 (20100/40670) | decode:0.62s embed:1.66s db:0.04s total:1.70s | CPU:69% RAM:86% GPU:N/A | ETA:12m1s
batch 403/814 (20150/40670) | decode:0.66s embed:1.68s db:0.10s total:1.77s | CPU:71% RAM:85% GPU:N/A | ETA:12m2s
batch 404/814 (20200/40670) | decode:0.93s embed:1.85s db:0.04s total:1.89s | CPU:71% RAM:85% GPU:N/A | ETA:12m11s
batch 405/814 (20250/40670) | decode:1.02s embed:1.73s db:0.03s total:1.76s | CPU:72% RAM:85% GPU:N/A | ETA:12m7s
batch 406/814 (20300/40670) | decode:0.81s embed:1.65s db:0.04s total:1.69s | CPU:71% RAM:85% GPU:N/A | ETA:11m58s
batch 407/814 (20350/40670) | decode:0.86s embed:1.86s db:0.05s total:1.91s | CPU:71% RAM:85% GPU:N/A | ETA:12m9s
batch 408/814 (20400/40670) | decode:1.06s embed:1.81s db:0.03s total:1.85s | CPU:71% RAM:85% GPU:N/A | ETA:12m12s
batch 409/814 (20450/40670) | decode:0.83s embed:1.62s db:0.05s total:1.67s | CPU:75% RAM:85% GPU:N/A | ETA:11m59s
batch 410/814 (20500/40670) | decode:0.77s embed:1.59s db:0.04s total:1.63s | CPU:75% RAM:85% GPU:N/A | ETA:11m45s
batch 411/814 (20550/40670) | decode:0.98s embed:1.60s db:0.05s total:1.66s | CPU:76% RAM:85% GPU:N/A | ETA:11m37s
batch 412/814 (20600/40670) | decode:1.11s embed:1.71s db:0.05s total:1.76s | CPU:74% RAM:85% GPU:N/A | ETA:11m37s
batch 413/814 (20650/40670) | decode:0.77s embed:1.65s db:0.06s total:1.71s | CPU:70% RAM:85% GPU:N/A | ETA:11m34s
batch 414/814 (20700/40670) | decode:0.66s embed:1.65s db:0.04s total:1.69s | CPU:68% RAM:85% GPU:N/A | ETA:11m29s
batch 415/814 (20750/40670) | decode:0.63s embed:1.62s db:0.03s total:1.66s | CPU:80% RAM:85% GPU:N/A | ETA:11m22s
batch 416/814 (20800/40670) | decode:0.78s embed:1.60s db:0.06s total:1.65s | CPU:77% RAM:85% GPU:N/A | ETA:11m16s
batch 417/814 (20850/40670) | decode:0.78s embed:1.64s db:0.04s total:1.68s | CPU:77% RAM:85% GPU:N/A | ETA:11m13s
batch 418/814 (20900/40670) | decode:0.79s embed:1.57s db:0.06s total:1.64s | CPU:78% RAM:85% GPU:N/A | ETA:11m6s
batch 419/814 (20950/40670) | decode:0.67s embed:1.57s db:0.05s total:1.62s | CPU:77% RAM:85% GPU:N/A | ETA:11m0s
batch 420/814 (21000/40670) | decode:0.66s embed:1.75s db:0.13s total:1.88s | CPU:79% RAM:85% GPU:N/A | ETA:11m14s
batch 421/814 (21050/40670) | decode:0.74s embed:1.68s db:0.03s total:1.71s | CPU:69% RAM:85% GPU:N/A | ETA:11m12s
batch 422/814 (21100/40670) | decode:0.61s embed:1.63s db:0.05s total:1.69s | CPU:75% RAM:85% GPU:N/A | ETA:11m9s
batch 423/814 (21150/40670) | decode:0.62s embed:1.65s db:0.04s total:1.69s | CPU:72% RAM:85% GPU:N/A | ETA:11m6s
batch 424/814 (21200/40670) | decode:0.79s embed:1.61s db:0.05s total:1.66s | CPU:76% RAM:85% GPU:N/A | ETA:11m0s
batch 425/814 (21250/40670) | decode:0.77s embed:1.57s db:0.03s total:1.60s | CPU:74% RAM:85% GPU:N/A | ETA:10m51s
batch 426/814 (21300/40670) | decode:0.64s embed:1.57s db:0.05s total:1.62s | CPU:75% RAM:85% GPU:N/A | ETA:10m45s
batch 427/814 (21350/40670) | decode:0.73s embed:1.59s db:0.06s total:1.65s | CPU:74% RAM:85% GPU:N/A | ETA:10m42s
batch 428/814 (21400/40670) | decode:0.61s embed:1.58s db:0.06s total:1.64s | CPU:73% RAM:85% GPU:N/A | ETA:10m39s
batch 429/814 (21450/40670) | decode:0.61s embed:1.59s db:0.04s total:1.62s | CPU:77% RAM:85% GPU:N/A | ETA:10m35s
batch 430/814 (21500/40670) | decode:0.60s embed:1.58s db:0.04s total:1.62s | CPU:75% RAM:85% GPU:N/A | ETA:10m31s
batch 431/814 (21550/40670) | decode:0.63s embed:1.58s db:0.05s total:1.63s | CPU:76% RAM:85% GPU:N/A | ETA:10m28s
batch 432/814 (21600/40670) | decode:0.64s embed:1.64s db:0.04s total:1.68s | CPU:79% RAM:85% GPU:N/A | ETA:10m30s
batch 433/814 (21650/40670) | decode:0.65s embed:1.62s db:0.03s total:1.65s | CPU:78% RAM:85% GPU:N/A | ETA:10m28s
batch 434/814 (21700/40670) | decode:0.65s embed:1.61s db:0.05s total:1.66s | CPU:76% RAM:85% GPU:N/A | ETA:10m27s
batch 435/814 (21750/40670) | decode:0.61s embed:1.60s db:0.04s total:1.64s | CPU:77% RAM:85% GPU:N/A | ETA:10m25s
batch 436/814 (21800/40670) | decode:0.63s embed:1.63s db:0.06s total:1.69s | CPU:74% RAM:85% GPU:N/A | ETA:10m26s
batch 437/814 (21850/40670) | decode:0.65s embed:1.66s db:0.03s total:1.70s | CPU:80% RAM:85% GPU:N/A | ETA:10m28s
batch 438/814 (21900/40670) | decode:0.67s embed:1.69s db:0.05s total:1.75s | CPU:77% RAM:85% GPU:N/A | ETA:10m32s
batch 439/814 (21950/40670) | decode:0.65s embed:1.68s db:0.05s total:1.72s | CPU:79% RAM:85% GPU:N/A | ETA:10m33s
batch 440/814 (22000/40670) | decode:0.61s embed:1.64s db:0.14s total:1.78s | CPU:72% RAM:85% GPU:N/A | ETA:10m38s
batch 441/814 (22050/40670) | decode:0.70s embed:1.66s db:0.04s total:1.70s | CPU:74% RAM:85% GPU:N/A | ETA:10m36s
batch 442/814 (22100/40670) | decode:0.63s embed:1.65s db:0.05s total:1.70s | CPU:78% RAM:85% GPU:N/A | ETA:10m34s
batch 443/814 (22150/40670) | decode:0.79s embed:1.59s db:0.05s total:1.64s | CPU:71% RAM:85% GPU:N/A | ETA:10m28s
batch 444/814 (22200/40670) | decode:0.68s embed:1.57s db:0.06s total:1.64s | CPU:73% RAM:85% GPU:N/A | ETA:10m22s
batch 445/814 (22250/40670) | decode:0.71s embed:1.61s db:0.05s total:1.66s | CPU:75% RAM:85% GPU:N/A | ETA:10m19s
batch 446/814 (22300/40670) | decode:0.72s embed:1.60s db:0.06s total:1.66s | CPU:75% RAM:85% GPU:N/A | ETA:10m16s
batch 447/814 (22350/40670) | decode:0.75s embed:1.63s db:0.03s total:1.67s | CPU:77% RAM:85% GPU:N/A | ETA:10m13s
batch 448/814 (22400/40670) | decode:0.64s embed:1.61s db:0.04s total:1.65s | CPU:79% RAM:85% GPU:N/A | ETA:10m10s
batch 449/814 (22450/40670) | decode:0.65s embed:1.63s db:0.04s total:1.67s | CPU:74% RAM:85% GPU:N/A | ETA:10m8s
batch 450/814 (22500/40670) | decode:0.68s embed:1.63s db:0.04s total:1.67s | CPU:74% RAM:85% GPU:N/A | ETA:10m6s
batch 451/814 (22550/40670) | decode:0.73s embed:1.62s db:0.07s total:1.68s | CPU:79% RAM:85% GPU:N/A | ETA:10m6s
batch 452/814 (22600/40670) | decode:0.63s embed:1.65s db:0.03s total:1.68s | CPU:78% RAM:85% GPU:N/A | ETA:10m5s
batch 453/814 (22650/40670) | decode:0.64s embed:1.65s db:0.05s total:1.70s | CPU:76% RAM:85% GPU:N/A | ETA:10m5s
batch 454/814 (22700/40670) | decode:0.65s embed:1.67s db:0.06s total:1.73s | CPU:79% RAM:85% GPU:N/A | ETA:10m8s
batch 455/814 (22750/40670) | decode:0.69s embed:1.68s db:0.06s total:1.75s | CPU:68% RAM:85% GPU:N/A | ETA:10m10s
batch 456/814 (22800/40670) | decode:0.69s embed:1.64s db:0.05s total:1.69s | CPU:80% RAM:85% GPU:N/A | ETA:10m7s
batch 457/814 (22850/40670) | decode:0.70s embed:1.67s db:0.03s total:1.70s | CPU:82% RAM:85% GPU:N/A | ETA:10m6s
batch 458/814 (22900/40670) | decode:0.67s embed:1.72s db:0.05s total:1.77s | CPU:79% RAM:85% GPU:N/A | ETA:10m9s
batch 459/814 (22950/40670) | decode:0.78s embed:1.62s db:0.05s total:1.67s | CPU:76% RAM:85% GPU:N/A | ETA:10m5s
batch 460/814 (23000/40670) | decode:0.65s embed:1.64s db:0.17s total:1.82s | CPU:73% RAM:85% GPU:N/A | ETA:10m11s
batch 461/814 (23050/40670) | decode:0.68s embed:1.57s db:0.03s total:1.60s | CPU:73% RAM:85% GPU:N/A | ETA:10m0s
batch 462/814 (23100/40670) | decode:0.78s embed:1.60s db:0.05s total:1.65s | CPU:72% RAM:85% GPU:N/A | ETA:9m55s
batch 463/814 (23150/40670) | decode:0.61s embed:1.60s db:0.07s total:1.67s | CPU:75% RAM:85% GPU:N/A | ETA:9m52s
batch 464/814 (23200/40670) | decode:0.69s embed:1.62s db:0.04s total:1.65s | CPU:77% RAM:85% GPU:N/A | ETA:9m48s
batch 465/814 (23250/40670) | decode:0.65s embed:1.59s db:0.03s total:1.62s | CPU:77% RAM:85% GPU:N/A | ETA:9m42s
batch 466/814 (23300/40670) | decode:0.63s embed:1.59s db:0.05s total:1.64s | CPU:75% RAM:85% GPU:N/A | ETA:9m38s
batch 467/814 (23350/40670) | decode:0.66s embed:1.63s db:0.03s total:1.67s | CPU:82% RAM:85% GPU:N/A | ETA:9m37s
batch 468/814 (23400/40670) | decode:0.66s embed:1.60s db:0.04s total:1.63s | CPU:78% RAM:85% GPU:N/A | ETA:9m33s
batch 469/814 (23450/40670) | decode:0.64s embed:1.65s db:0.03s total:1.68s | CPU:80% RAM:85% GPU:N/A | ETA:9m33s
batch 470/814 (23500/40670) | decode:0.64s embed:1.63s db:0.05s total:1.70s | CPU:74% RAM:85% GPU:N/A | ETA:9m34s
batch 471/814 (23550/40670) | decode:0.65s embed:1.61s db:0.03s total:1.64s | CPU:78% RAM:85% GPU:N/A | ETA:9m31s
batch 472/814 (23600/40670) | decode:0.66s embed:1.62s db:0.06s total:1.68s | CPU:74% RAM:85% GPU:N/A | ETA:9m30s
batch 473/814 (23650/40670) | decode:0.66s embed:1.78s db:0.03s total:1.82s | CPU:82% RAM:86% GPU:N/A | ETA:9m39s
batch 474/814 (23700/40670) | decode:0.73s embed:1.59s db:0.06s total:1.65s | CPU:78% RAM:86% GPU:N/A | ETA:9m34s
batch 475/814 (23750/40670) | decode:0.64s embed:1.58s db:0.04s total:1.62s | CPU:80% RAM:86% GPU:N/A | ETA:9m27s
batch 476/814 (23800/40670) | decode:0.62s embed:1.57s db:0.07s total:1.65s | CPU:78% RAM:86% GPU:N/A | ETA:9m24s
batch 477/814 (23850/40670) | decode:0.84s embed:1.63s db:0.04s total:1.67s | CPU:78% RAM:85% GPU:N/A | ETA:9m22s
batch 478/814 (23900/40670) | decode:0.65s embed:1.58s db:0.06s total:1.64s | CPU:75% RAM:85% GPU:N/A | ETA:9m18s
batch 479/814 (23950/40670) | decode:0.66s embed:1.74s db:0.04s total:1.78s | CPU:82% RAM:85% GPU:N/A | ETA:9m25s
batch 480/814 (24000/40670) | decode:0.66s embed:1.72s db:0.16s total:1.89s | CPU:77% RAM:86% GPU:N/A | ETA:9m36s
batch 481/814 (24050/40670) | decode:0.72s embed:1.62s db:0.04s total:1.67s | CPU:79% RAM:87% GPU:N/A | ETA:9m30s
batch 482/814 (24100/40670) | decode:0.63s embed:1.71s db:0.03s total:1.74s | CPU:81% RAM:87% GPU:N/A | ETA:9m30s
batch 483/814 (24150/40670) | decode:0.80s embed:1.64s db:0.06s total:1.70s | CPU:75% RAM:87% GPU:N/A | ETA:9m27s
batch 484/814 (24200/40670) | decode:0.71s embed:1.64s db:0.04s total:1.68s | CPU:76% RAM:88% GPU:N/A | ETA:9m23s
batch 485/814 (24250/40670) | decode:0.69s embed:1.63s db:0.03s total:1.66s | CPU:79% RAM:87% GPU:N/A | ETA:9m18s
batch 486/814 (24300/40670) | decode:0.80s embed:1.59s db:0.03s total:1.63s | CPU:79% RAM:87% GPU:N/A | ETA:9m12s
batch 487/814 (24350/40670) | decode:0.67s embed:1.58s db:0.05s total:1.63s | CPU:78% RAM:87% GPU:N/A | ETA:9m7s
batch 488/814 (24400/40670) | decode:0.70s embed:1.57s db:0.05s total:1.62s | CPU:76% RAM:87% GPU:N/A | ETA:9m1s
batch 489/814 (24450/40670) | decode:0.63s embed:1.60s db:0.06s total:1.66s | CPU:70% RAM:87% GPU:N/A | ETA:8m59s
batch 490/814 (24500/40670) | decode:0.65s embed:1.61s db:0.04s total:1.65s | CPU:76% RAM:87% GPU:N/A | ETA:8m57s
batch 491/814 (24550/40670) | decode:0.69s embed:1.62s db:0.06s total:1.68s | CPU:74% RAM:87% GPU:N/A | ETA:8m57s
batch 492/814 (24600/40670) | decode:0.65s embed:1.58s db:0.05s total:1.63s | CPU:76% RAM:87% GPU:N/A | ETA:8m53s
batch 493/814 (24650/40670) | decode:0.67s embed:1.62s db:0.04s total:1.67s | CPU:81% RAM:88% GPU:N/A | ETA:8m53s
batch 494/814 (24700/40670) | decode:0.65s embed:1.63s db:0.05s total:1.67s | CPU:77% RAM:88% GPU:N/A | ETA:8m52s
batch 495/814 (24750/40670) | decode:0.62s embed:1.57s db:0.07s total:1.64s | CPU:72% RAM:88% GPU:N/A | ETA:8m49s
batch 496/814 (24800/40670) | decode:0.66s embed:1.58s db:0.05s total:1.63s | CPU:74% RAM:88% GPU:N/A | ETA:8m45s
batch 497/814 (24850/40670) | decode:0.64s embed:1.61s db:0.06s total:1.68s | CPU:75% RAM:88% GPU:N/A | ETA:8m45s
batch 498/814 (24900/40670) | decode:0.68s embed:1.61s db:0.04s total:1.65s | CPU:78% RAM:88% GPU:N/A | ETA:8m43s
batch 499/814 (24950/40670) | decode:0.62s embed:1.59s db:0.04s total:1.62s | CPU:75% RAM:88% GPU:N/A | ETA:8m39s
batch 500/814 (25000/40670) | decode:0.63s embed:1.61s db:0.13s total:1.74s | CPU:74% RAM:88% GPU:N/A | ETA:8m43s
batch 501/814 (25050/40670) | decode:0.62s embed:1.64s db:0.03s total:1.67s | CPU:77% RAM:88% GPU:N/A | ETA:8m42s
batch 502/814 (25100/40670) | decode:0.71s embed:1.62s db:0.04s total:1.66s | CPU:75% RAM:88% GPU:N/A | ETA:8m40s
batch 503/814 (25150/40670) | decode:0.62s embed:1.72s db:0.04s total:1.76s | CPU:75% RAM:87% GPU:N/A | ETA:8m44s
batch 504/814 (25200/40670) | decode:0.65s embed:1.70s db:0.03s total:1.74s | CPU:81% RAM:87% GPU:N/A | ETA:8m45s
batch 505/814 (25250/40670) | decode:0.69s embed:1.69s db:0.03s total:1.73s | CPU:77% RAM:87% GPU:N/A | ETA:8m46s
batch 506/814 (25300/40670) | decode:0.64s embed:1.60s db:0.03s total:1.63s | CPU:78% RAM:87% GPU:N/A | ETA:8m40s
batch 507/814 (25350/40670) | decode:0.84s embed:1.60s db:0.03s total:1.64s | CPU:80% RAM:87% GPU:N/A | ETA:8m35s
batch 508/814 (25400/40670) | decode:0.70s embed:1.58s db:0.05s total:1.63s | CPU:75% RAM:87% GPU:N/A | ETA:8m30s
batch 509/814 (25450/40670) | decode:0.81s embed:1.60s db:0.05s total:1.65s | CPU:72% RAM:87% GPU:N/A | ETA:8m27s
batch 510/814 (25500/40670) | decode:0.63s embed:1.61s db:0.06s total:1.67s | CPU:75% RAM:87% GPU:N/A | ETA:8m25s
batch 511/814 (25550/40670) | decode:0.66s embed:1.63s db:0.05s total:1.68s | CPU:77% RAM:87% GPU:N/A | ETA:8m25s
batch 512/814 (25600/40670) | decode:0.61s embed:1.76s db:0.03s total:1.80s | CPU:82% RAM:87% GPU:N/A | ETA:8m31s
batch 513/814 (25650/40670) | decode:0.66s embed:1.63s db:0.06s total:1.69s | CPU:78% RAM:87% GPU:N/A | ETA:8m29s
batch 514/814 (25700/40670) | decode:0.65s embed:1.62s db:0.06s total:1.69s | CPU:76% RAM:87% GPU:N/A | ETA:8m27s
batch 515/814 (25750/40670) | decode:0.67s embed:1.70s db:0.06s total:1.76s | CPU:76% RAM:87% GPU:N/A | ETA:8m29s
batch 516/814 (25800/40670) | decode:0.72s embed:1.66s db:0.08s total:1.74s | CPU:79% RAM:87% GPU:N/A | ETA:8m29s
batch 517/814 (25850/40670) | decode:0.68s embed:1.63s db:0.04s total:1.67s | CPU:78% RAM:87% GPU:N/A | ETA:8m25s
batch 518/814 (25900/40670) | decode:0.63s embed:1.64s db:0.05s total:1.68s | CPU:77% RAM:87% GPU:N/A | ETA:8m22s
batch 519/814 (25950/40670) | decode:0.81s embed:1.59s db:0.03s total:1.62s | CPU:78% RAM:87% GPU:N/A | ETA:8m16s
batch 520/814 (26000/40670) | decode:0.67s embed:1.63s db:0.14s total:1.77s | CPU:75% RAM:87% GPU:N/A | ETA:8m20s
batch 521/814 (26050/40670) | decode:0.69s embed:1.59s db:0.05s total:1.65s | CPU:77% RAM:87% GPU:N/A | ETA:8m15s
batch 522/814 (26100/40670) | decode:0.68s embed:1.61s db:0.04s total:1.66s | CPU:77% RAM:87% GPU:N/A | ETA:8m11s
batch 523/814 (26150/40670) | decode:0.60s embed:1.60s db:0.05s total:1.65s | CPU:74% RAM:87% GPU:N/A | ETA:8m7s
batch 524/814 (26200/40670) | decode:0.66s embed:1.59s db:0.03s total:1.62s | CPU:78% RAM:87% GPU:N/A | ETA:8m3s
batch 525/814 (26250/40670) | decode:0.68s embed:1.83s db:0.05s total:1.88s | CPU:81% RAM:88% GPU:N/A | ETA:8m13s
batch 526/814 (26300/40670) | decode:0.63s embed:1.61s db:0.05s total:1.66s | CPU:78% RAM:88% GPU:N/A | ETA:8m9s
batch 527/814 (26350/40670) | decode:0.65s embed:1.65s db:0.04s total:1.69s | CPU:79% RAM:88% GPU:N/A | ETA:8m6s
batch 528/814 (26400/40670) | decode:0.61s embed:1.63s db:0.05s total:1.68s | CPU:76% RAM:88% GPU:N/A | ETA:8m4s
batch 529/814 (26450/40670) | decode:0.97s embed:1.60s db:0.05s total:1.65s | CPU:75% RAM:88% GPU:N/A | ETA:7m59s
batch 530/814 (26500/40670) | decode:0.64s embed:1.60s db:0.06s total:1.66s | CPU:78% RAM:88% GPU:N/A | ETA:7m56s
batch 531/814 (26550/40670) | decode:0.67s embed:1.56s db:0.06s total:1.61s | CPU:77% RAM:88% GPU:N/A | ETA:7m51s
batch 532/814 (26600/40670) | decode:0.67s embed:1.58s db:0.03s total:1.61s | CPU:77% RAM:88% GPU:N/A | ETA:7m46s
batch 533/814 (26650/40670) | decode:0.64s embed:1.62s db:0.04s total:1.66s | CPU:77% RAM:88% GPU:N/A | ETA:7m45s
batch 534/814 (26700/40670) | decode:0.65s embed:1.61s db:0.05s total:1.66s | CPU:79% RAM:87% GPU:N/A | ETA:7m43s
batch 535/814 (26750/40670) | decode:0.59s embed:1.72s db:0.03s total:1.76s | CPU:88% RAM:85% GPU:N/A | ETA:7m47s
batch 536/814 (26800/40670) | decode:0.64s embed:1.66s db:0.05s total:1.71s | CPU:80% RAM:85% GPU:N/A | ETA:7m48s
batch 537/814 (26850/40670) | decode:0.68s embed:1.64s db:0.03s total:1.67s | CPU:76% RAM:85% GPU:N/A | ETA:7m45s
batch 538/814 (26900/40670) | decode:0.61s embed:1.62s db:0.06s total:1.68s | CPU:75% RAM:84% GPU:N/A | ETA:7m44s
batch 539/814 (26950/40670) | decode:0.89s embed:1.60s db:0.06s total:1.66s | CPU:74% RAM:85% GPU:N/A | ETA:7m41s
batch 540/814 (27000/40670) | decode:0.85s embed:1.72s db:0.23s total:1.94s | CPU:73% RAM:85% GPU:N/A | ETA:7m54s
batch 541/814 (27050/40670) | decode:0.68s embed:1.60s db:0.03s total:1.63s | CPU:77% RAM:85% GPU:N/A | ETA:7m47s
batch 542/814 (27100/40670) | decode:0.66s embed:1.62s db:0.04s total:1.65s | CPU:80% RAM:85% GPU:N/A | ETA:7m42s
batch 543/814 (27150/40670) | decode:0.70s embed:1.64s db:0.05s total:1.69s | CPU:81% RAM:85% GPU:N/A | ETA:7m40s
batch 544/814 (27200/40670) | decode:0.84s embed:1.62s db:0.03s total:1.65s | CPU:80% RAM:85% GPU:N/A | ETA:7m35s
batch 545/814 (27250/40670) | decode:0.65s embed:1.71s db:0.04s total:1.76s | CPU:77% RAM:85% GPU:N/A | ETA:7m37s
batch 546/814 (27300/40670) | decode:0.67s embed:1.81s db:0.03s total:1.85s | CPU:72% RAM:85% GPU:N/A | ETA:7m43s
batch 547/814 (27350/40670) | decode:0.73s embed:2.15s db:0.05s total:2.20s | CPU:75% RAM:85% GPU:N/A | ETA:8m7s
batch 548/814 (27400/40670) | decode:0.67s embed:2.17s db:0.05s total:2.22s | CPU:78% RAM:86% GPU:N/A | ETA:8m26s
batch 549/814 (27450/40670) | decode:0.73s embed:1.85s db:0.03s total:1.89s | CPU:74% RAM:86% GPU:N/A | ETA:8m23s
batch 550/814 (27500/40670) | decode:1.12s embed:2.15s db:0.16s total:2.31s | CPU:76% RAM:87% GPU:N/A | ETA:8m43s
batch 551/814 (27550/40670) | decode:1.07s embed:2.23s db:0.05s total:2.28s | CPU:88% RAM:88% GPU:N/A | ETA:8m57s
batch 552/814 (27600/40670) | decode:1.22s embed:2.67s db:0.06s total:2.74s | CPU:87% RAM:89% GPU:N/A | ETA:9m31s
batch 553/814 (27650/40670) | decode:0.97s embed:1.77s db:0.05s total:1.81s | CPU:83% RAM:85% GPU:N/A | ETA:9m10s
batch 554/814 (27700/40670) | decode:1.01s embed:1.76s db:0.04s total:1.80s | CPU:86% RAM:85% GPU:N/A | ETA:8m51s
batch 555/814 (27750/40670) | decode:1.55s embed:1.91s db:0.04s total:1.95s | CPU:76% RAM:86% GPU:N/A | ETA:8m45s
batch 556/814 (27800/40670) | decode:2.26s embed:1.81s db:0.06s total:1.87s | CPU:83% RAM:86% GPU:N/A | ETA:8m35s
batch 557/814 (27850/40670) | decode:0.90s embed:2.09s db:0.05s total:2.14s | CPU:86% RAM:86% GPU:N/A | ETA:8m40s
batch 558/814 (27900/40670) | decode:0.88s embed:1.99s db:0.05s total:2.04s | CPU:78% RAM:86% GPU:N/A | ETA:8m39s
batch 559/814 (27950/40670) | decode:1.09s embed:1.95s db:0.06s total:2.02s | CPU:74% RAM:86% GPU:N/A | ETA:8m36s
batch 560/814 (28000/40670) | decode:0.92s embed:2.21s db:0.25s total:2.47s | CPU:71% RAM:86% GPU:N/A | ETA:8m57s
batch 561/814 (28050/40670) | decode:1.27s embed:1.80s db:0.04s total:1.84s | CPU:72% RAM:86% GPU:N/A | ETA:8m41s
batch 562/814 (28100/40670) | decode:1.16s embed:1.88s db:0.04s total:1.92s | CPU:71% RAM:86% GPU:N/A | ETA:8m32s
batch 563/814 (28150/40670) | decode:1.08s embed:1.90s db:0.03s total:1.93s | CPU:85% RAM:86% GPU:N/A | ETA:8m25s
batch 564/814 (28200/40670) | decode:1.36s embed:2.10s db:0.04s total:2.14s | CPU:91% RAM:86% GPU:N/A | ETA:8m29s
batch 565/814 (28250/40670) | decode:1.01s embed:1.98s db:0.04s total:2.02s | CPU:86% RAM:86% GPU:N/A | ETA:8m26s
batch 566/814 (28300/40670) | decode:0.95s embed:1.94s db:0.04s total:1.99s | CPU:76% RAM:86% GPU:N/A | ETA:8m22s
batch 567/814 (28350/40670) | decode:0.88s embed:1.86s db:0.04s total:1.90s | CPU:76% RAM:86% GPU:N/A | ETA:8m14s
batch 568/814 (28400/40670) | decode:1.58s embed:1.95s db:0.05s total:2.00s | CPU:78% RAM:85% GPU:N/A | ETA:8m12s
batch 569/814 (28450/40670) | decode:1.49s embed:1.97s db:0.07s total:2.04s | CPU:77% RAM:84% GPU:N/A | ETA:8m11s
batch 570/814 (28500/40670) | decode:1.15s embed:1.82s db:0.05s total:1.88s | CPU:76% RAM:84% GPU:N/A | ETA:8m3s
batch 571/814 (28550/40670) | decode:1.03s embed:1.80s db:0.04s total:1.84s | CPU:73% RAM:84% GPU:N/A | ETA:7m54s
batch 572/814 (28600/40670) | decode:1.22s embed:1.83s db:0.05s total:1.88s | CPU:76% RAM:84% GPU:N/A | ETA:7m49s
batch 573/814 (28650/40670) | decode:1.52s embed:1.88s db:0.05s total:1.93s | CPU:75% RAM:84% GPU:N/A | ETA:7m47s
batch 574/814 (28700/40670) | decode:1.00s embed:1.87s db:0.06s total:1.94s | CPU:75% RAM:84% GPU:N/A | ETA:7m45s
batch 575/814 (28750/40670) | decode:1.03s embed:2.02s db:0.06s total:2.09s | CPU:75% RAM:85% GPU:N/A | ETA:7m50s
batch 576/814 (28800/40670) | decode:0.96s embed:1.85s db:0.05s total:1.90s | CPU:75% RAM:85% GPU:N/A | ETA:7m44s
batch 577/814 (28850/40670) | decode:1.06s embed:1.88s db:0.06s total:1.94s | CPU:75% RAM:85% GPU:N/A | ETA:7m42s
batch 578/814 (28900/40670) | decode:0.99s embed:1.78s db:0.06s total:1.84s | CPU:81% RAM:85% GPU:N/A | ETA:7m34s
batch 579/814 (28950/40670) | decode:1.03s embed:1.92s db:0.05s total:1.97s | CPU:76% RAM:85% GPU:N/A | ETA:7m35s
batch 580/814 (29000/40670) | decode:1.11s embed:1.89s db:0.22s total:2.11s | CPU:73% RAM:85% GPU:N/A | ETA:7m41s
